route,file,title,h1,meta_description,canonical,internal_links,faq_questions,schema_types,enquiry_ctas
/about,about.html,About TutorServices | Trusted Tuition Support in India,tutorservices helps India learn with confidence.,"Learn about TutorServices, founded by Meenakshi Sharma, and our mission to connect students and parents with verified tutors across India today.",https://www.tutorservices.in/about,24,3,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|AboutPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,1
/academic-coaching,academic-coaching.html,Academic Coaching for Class 1 to 12 | TutorServices,"Academic Coaching for Stronger Learning, Better Habits and Long-Term Success","Find structured academic coaching for Class 1 to 12 with personalised study plans, concept support, progress tracking and better learning habits.",https://www.tutorservices.in/academic-coaching,31,10,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|WebSite|WebPage|BreadcrumbList|ListItem|Service|EducationalAudience|Audience|FAQPage|Question|Answer,6
/benefits-of-home-tuition,benefits-of-home-tuition.html,Benefits of Home Tuition for Students | TutorServices,Benefits of Home Tuition for Students,"Learn how home tuition gives students personal attention, flexible lessons, faster doubt resolution, stronger concepts and focused exam support.",https://www.tutorservices.in/benefits-of-home-tuition,16,2,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|WebPage|BreadcrumbList|ListItem|Article|FAQPage|Question|Answer,5
/best-home-tuition-services-india,best-home-tuition-services-india.html,How to Choose Home Tuition Services in India | Parent Guide,Best Home Tuition Services in India: A Complete Guide for Parents and Students,"Learn how to compare home tuition services, evaluate tutor experience, use demo classes and choose suitable academic support for your child.",https://www.tutorservices.in/best-home-tuition-services-india,18,8,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|WebPage|BreadcrumbList|ListItem|Article|FAQPage|Question|Answer,6
/blog,blog.html,"Education Blog | Tuition, Study & Exam Guides India","Helpful tuition guides for parents, students and tutors.","Read practical educational articles about home tuition, online learning, board exams, spoken English, study skills and choosing the right tutor.",https://www.tutorservices.in/blog,40,3,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|CollectionPage|BreadcrumbList|ListItem|Blog|FAQPage|Question|Answer,0
/boards,boards.html,"Board Tuition in India | CBSE, ICSE, IGCSE, IB & NIOS Tutors",Board Tuition in India for Focused Learning and Exam Preparation,"Find board tuition in India for CBSE, ICSE, IGCSE, IB, NIOS and State Boards with personalised home or online tutor support for school students.",https://www.tutorservices.in/boards,32,10,CollectionPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|ItemList|FAQPage|Question|Answer,7
/boards/cbse-tuition,boards/cbse-tuition.html,CBSE Tuition in India | Home & Online Tutors | TutorServices,CBSE Tuition in India for Strong Concepts and Exam Readiness,"Find CBSE tuition in India with experienced home and online tutors for Classes 1–12, NCERT learning, subject support and board exam preparation.",https://www.tutorservices.in/boards/cbse-tuition,34,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/boards/class-10-board-tuition,boards/class-10-board-tuition.html,Class 10 Board Tuition | Expert Tutors | TutorServices,Class 10 Board Tuition for Stronger Preparation and Confidence,"Find Class 10 board tuition with personalised home or online tutors for Maths, Science, English and exam preparation across CBSE, ICSE and State Boards.",https://www.tutorservices.in/boards/class-10-board-tuition,28,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/boards/class-12-board-tuition,boards/class-12-board-tuition.html,Class 12 Board Tuition | Expert Tutors | TutorServices,Class 12 Board Tuition for Exam Success and University Readiness,"Find Class 12 board tuition with expert home or online tutors for Science, Commerce and Humanities, board exams, mock tests and university readiness.",https://www.tutorservices.in/boards/class-12-board-tuition,32,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/boards/icse-tuition,boards/icse-tuition.html,ICSE Tuition in India | Home & Online Tutors | TutorServices,ICSE Tuition in India for Deeper Learning and Confident Expression,"Find ICSE tuition in India with experienced home and online tutors for Classes 1–12, detailed subject learning, language skills and board preparation.",https://www.tutorservices.in/boards/icse-tuition,38,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/boards/state-board-tuition,boards/state-board-tuition.html,State Board Tuition in India | Expert Tutors | TutorServices,State Board Tuition in India Aligned with Your Exact Syllabus,"Find State Board tuition in India with home and online tutors familiar with regional syllabi, language preferences, school subjects and board exams.",https://www.tutorservices.in/boards/state-board-tuition,37,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/cities,cities.html,Home Tuition Locations and Verified Tutors | TutorServices,Home Tuition Locations for Personalised Tutor Support,"Explore TutorServices home tuition locations, Delhi tutor availability and personalised online tuition options for students throughout India today.",https://www.tutorservices.in/cities,33,10,Organization|EducationalOrganization|ImageObject|PostalAddress|AdministrativeArea|Country|Person|CollectionPage|WebPage|BreadcrumbList|ListItem|ItemList|Service|FAQPage|Question|Answer,9
/cities/delhi,cities/delhi.html,Home Tuition in Delhi with Verified Tutors | TutorServices,"Home Tuition in Delhi for Every Class, Board and Learning Goal","Find personalised home tuition in Delhi for school subjects, boards and exams through verified TutorServices tutors, with online options available.",https://www.tutorservices.in/cities/delhi,48,10,Organization|EducationalOrganization|ImageObject|PostalAddress|AdministrativeArea|Person|WebPage|BreadcrumbList|ListItem|Service|City|ServiceChannel|Place|FAQPage|Question|Answer,6
